scenfile,max_agent_one_solvable,max_agent_all_solvable
empty-8-8-even-10.scen,30.0,30
lt_gallowstemplar_n-even-21.scen,1000.0,80
ht_chantry-even-10.scen,1000.0,90
warehouse-20-40-10-2-1-even-15.scen,1000.0,310
empty-32-32-even-11.scen,510.0,150
empty-16-16-even-17.scen,120.0,70
empty-16-16-random-20.scen,120.0,70
empty-48-48-random-23.scen,1150.0,220
warehouse-20-40-10-2-2-even-16.scen,1010.0,490
empty-16-16-random-24.scen,120.0,70
maze-32-32-4-even-2.scen,290.0,40
room-32-32-4-even-22.scen,340.0,50
empty-16-16-even-24.scen,120.0,70
ht_chantry-even-5.scen,1000.0,90
empty-48-48-even-23.scen,1150.0,220
random-64-64-10-even-13.scen,1000.0,200
Boston_0_256-even-15.scen,1000.0,220
empty-16-16-even-25.scen,120.0,70
empty-16-16-random-25.scen,120.0,70
empty-48-48-random-10.scen,1150.0,220
maze-128-128-10-even-7.scen,1130.0,50
maze-128-128-2-even-24.scen,310.0,20
empty-32-32-random-12.scen,510.0,150
